ds,time,y
1/8/2568,9:00,1.39
1/8/2568,8:00,1.43
1/8/2568,7:00,1.52
1/8/2568,6:00,1.73
1/8/2568,5:00,2.01
1/8/2568,4:00,2.33
1/8/2568,3:00,2.61
1/8/2568,2:00,2.82
1/8/2568,1:00,3.04
1/8/2568,0:00,3.23
31/07/2568,23:00,3.37
31/07/2568,22:00,3.44
31/07/2568,21:00,3.5
31/07/2568,20:00,3.64
31/07/2568,19:00,3.74
31/07/2568,18:00,3.8
31/07/2568,17:00,3.78
31/07/2568,16:00,3.79
31/07/2568,15:00,3.58
31/07/2568,14:00,3.42
31/07/2568,13:00,3.14
31/07/2568,12:00,2.76
